Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 447, (True, False): 78, (False, True): 23, (True, True): 14}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.708185053380783 Counts: Counter({(False, False): 371, (False, True): 99, (True, False): 65, (True, True): 27}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.708185053380783 Counts: Counter({(False, False): 371, (False, True): 99, (True, False): 65, (True, True): 27}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 457, (True, False): 88, (False, True): 13, (True, True): 4}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8362989323843416 Counts: Counter({(False, False): 417, (True, True): 53, (False, True): 53, (True, False): 39}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8256227758007118 Counts: Counter({(False, False): 455, (True, False): 83, (False, True): 15, (True, True): 9}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.7491103202846975 Counts: Counter({(False, False): 391, (False, True): 79, (True, False): 62, (True, True): 30}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8113879003558719 Counts: Counter({(False, False): 401, (False, True): 69, (True, True): 55, (True, False): 37}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.9341637010676157 Counts: Counter({(False, False): 452, (True, True): 73, (True, False): 19, (False, True): 18}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': True}
Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 447, (True, False): 78, (False, True): 23, (True, True): 14}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 447, (True, False): 78, (False, True): 23, (True, True): 14}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8185053380782918 Counts: Counter({(False, False): 407, (False, True): 63, (True, True): 53, (True, False): 39}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.9430604982206405 Counts: Counter({(False, False): 457, (True, True): 73, (True, False): 19, (False, True): 13}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': True}
Accuracy: 0.708185053380783 Counts: Counter({(False, False): 371, (False, True): 99, (True, False): 65, (True, True): 27}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8345195729537367 Counts: Counter({(False, False): 461, (True, False): 84, (False, True): 9, (True, True): 8}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8256227758007118 Counts: Counter({(False, False): 455, (True, False): 83, (False, True): 15, (True, True): 9}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8256227758007118 Counts: Counter({(False, False): 455, (True, False): 83, (False, True): 15, (True, True): 9}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
